parola,amore,aspettativa,attivazione,disgusto,dominanza,fiducia,gioia,neutrale,paura,rabbia,sorpresa,tristezza,valenza
accasciato,0.02,0.04,4.33,0.17,2.83,0.04,0.0,0.0,0.38,0.38,0.12,0.75,3.0
accedere,0.33,0.33,5.0,0.0,5.67,0.25,0.42,0.0,0.04,0.0,0.42,0.0,6.0
accelerare,0.23,0.33,7.5,0.0,4.5,0.17,0.29,0.0,0.75,0.12,0.21,0.04,5.67
accelerazione,0.29,0.33,6.17,0.0,6.33,0.17,0.42,0.0,0.33,0.0,0.08,0.0,6.33
accendere,0.56,0.38,4.83,0.04,5.17,0.54,0.58,0.0,0.38,0.33,0.54,0.04,6.0
accennare,0.28,0.62,5.5,0.0,4.67,0.38,0.17,0.0,0.0,0.0,0.46,0.04,5.5
accento,0.12,0.33,4.0,0.08,5.33,0.08,0.17,0.0,0.12,0.17,0.33,0.17,4.5
accertamento,0.0,0.04,5.17,0.0,4.33,0.0,0.0,0.0,0.29,0.04,0.04,0.25,4.33
accertare,0.21,0.21,5.33,0.04,4.83,0.38,0.04,0.0,0.29,0.17,0.29,0.12,5.5
accertato,0.25,0.17,4.67,0.12,4.5,0.21,0.29,0.0,0.17,0.17,0.17,0.17,5.33
acceso,0.56,0.42,6.5,0.04,6.33,0.38,0.75,0.0,0.17,0.12,0.25,0.0,6.33
accesso,0.29,0.33,4.67,0.0,5.33,0.42,0.17,0.0,0.04,0.0,0.17,0.04,5.33
accessorio,0.04,0.12,3.83,0.0,5.5,0.0,0.08,0.0,0.0,0.0,0.0,0.0,4.67
accettabile,0.32,0.42,5.67,0.08,5.0,0.21,0.42,0.0,0.17,0.25,0.29,0.17,6.17
accettare,0.38,0.42,5.17,0.17,4.17,0.21,0.54,0.0,0.21,0.29,0.17,0.42,5.0
acciaio,0.25,0.38,5.33,0.17,6.17,0.17,0.33,0.0,0.17,0.17,0.12,0.04,5.83
accidente,0.08,0.17,6.17,0.54,2.83,0.08,0.08,0.0,0.79,0.79,0.42,0.54,2.17
accingere,0.18,0.21,5.5,0.04,5.33,0.29,0.08,0.0,0.08,0.04,0.25,0.08,5.0
acciuga,0.15,0.17,3.83,0.21,4.83,0.12,0.17,0.0,0.0,0.04,0.04,0.08,5.33
acclamazione,0.73,0.62,6.33,0.0,6.5,0.67,0.79,0.0,0.0,0.0,0.42,0.0,7.5
accoglienza,0.62,0.58,5.0,0.12,4.67,0.42,0.83,0.0,0.17,0.17,0.25,0.21,6.83
accogliere,0.9,0.83,4.83,0.04,6.17,0.96,0.83,0.0,0.21,0.04,0.75,0.17,7.33
accomodare,0.42,0.08,2.33,0.04,4.83,0.42,0.42,0.0,0.0,0.0,0.17,0.08,5.67
accompagnare,0.71,0.46,6.0,0.0,7.17,0.71,0.71,0.0,0.33,0.08,0.17,0.33,6.67
accontentare,0.17,0.08,4.17,0.0,5.33,0.08,0.25,0.0,0.12,0.04,0.08,0.25,6.33
accorciamento,0.15,0.12,4.5,0.17,4.33,0.17,0.12,0.0,0.17,0.17,0.17,0.12,4.83
accordare,0.54,0.75,4.83,0.08,6.67,0.71,0.38,0.0,0.17,0.08,0.17,0.17,6.83
accordo,0.48,0.79,5.17,0.0,5.5,0.29,0.67,0.0,0.17,0.04,0.17,0.04,6.67
accorgersi,0.23,0.42,5.67,0.12,5.83,0.17,0.29,0.0,0.12,0.04,0.71,0.08,5.33
accostare,0.12,0.17,5.33,0.12,5.0,0.21,0.04,0.0,0.0,0.0,0.04,0.08,4.5
accumulare,0.32,0.25,4.83,0.21,4.67,0.25,0.38,0.0,0.25,0.21,0.12,0.25,6.0
accuratezza,0.35,0.38,4.0,0.0,5.17,0.42,0.29,0.0,0.0,0.0,0.29,0.08,6.17
accurato,0.5,0.71,4.17,0.0,6.0,0.42,0.58,0.0,0.04,0.04,0.08,0.0,6.33
accusa,0.09,0.0,7.0,0.17,4.17,0.17,0.0,0.0,0.42,0.92,0.04,0.46,2.83
accusare,0.18,0.46,7.0,0.71,5.33,0.25,0.12,0.0,0.62,0.75,0.5,0.67,2.33
acerba,0.15,0.04,5.67,0.33,5.5,0.12,0.17,0.0,0.25,0.33,0.04,0.42,3.67
acido,0.0,0.04,4.67,0.79,4.67,0.0,0.0,0.0,0.38,0.67,0.04,0.33,4.17
acqua,0.27,0.17,4.67,0.12,4.67,0.08,0.46,0.0,0.12,0.04,0.08,0.08,6.33
acqua_stagnante,0.0,0.12,3.33,0.79,3.83,0.0,0.0,0.0,0.21,0.21,0.08,0.42,1.83
acquisire,0.69,0.92,7.5,0.04,7.67,0.58,0.79,0.0,0.04,0.04,0.38,0.04,8.17
acquisizione,0.62,0.92,4.67,0.04,6.67,0.58,0.67,0.0,0.25,0.04,0.25,0.17,6.17
acquistare,0.32,0.38,4.17,0.04,6.5,0.25,0.38,0.0,0.21,0.04,0.29,0.04,5.33
acquisto,0.56,0.79,5.83,0.04,4.0,0.54,0.58,0.0,0.08,0.04,0.54,0.29,5.83
acredine,0.0,0.0,5.33,0.58,5.17,0.0,0.0,0.0,0.17,0.79,0.0,0.33,3.33
acume,0.58,0.42,7.5,0.12,6.83,0.46,0.71,0.0,0.21,0.12,0.42,0.0,7.17
acuta,0.19,0.5,4.67,0.08,5.17,0.21,0.17,0.0,0.08,0.08,0.29,0.08,5.33
acutezza,0.4,0.29,5.5,0.04,5.5,0.25,0.54,0.0,0.04,0.04,0.0,0.0,5.67
acuto,0.23,0.29,7.0,0.21,5.17,0.29,0.17,0.0,0.21,0.25,0.21,0.33,6.0
adatta,0.46,0.38,5.17,0.0,5.83,0.46,0.46,0.0,0.0,0.0,0.5,0.0,7.33
adattare,0.31,0.25,5.0,0.0,5.17,0.33,0.29,0.0,0.04,0.12,0.17,0.04,5.67
adatti,0.23,0.58,3.5,0.04,4.83,0.25,0.21,0.0,0.12,0.0,0.29,0.0,5.17
adatto,0.69,0.79,5.67,0.04,6.0,0.83,0.54,0.0,0.12,0.04,0.21,0.04,7.5
addetto,0.52,0.42,3.67,0.17,5.83,0.5,0.54,0.0,0.17,0.17,0.25,0.21,6.0
addio,0.11,0.54,7.33,0.17,3.83,0.17,0.04,0.0,0.83,0.5,0.54,1.0,1.67
addirittura,0.18,0.29,5.83,0.08,5.0,0.04,0.33,0.0,0.04,0.12,0.46,0.04,5.5
addormentarsi,0.6,0.38,2.67,0.04,5.0,0.42,0.79,0.0,0.0,0.04,0.08,0.04,7.33
addossare,0.0,0.04,5.33,0.08,3.67,0.0,0.0,0.0,0.08,0.38,0.08,0.21,3.33
adeguare,0.06,0.33,5.33,0.04,4.67,0.08,0.04,0.0,0.04,0.12,0.08,0.17,4.5
adeguato,0.38,0.33,4.83,0.17,4.67,0.58,0.17,0.0,0.04,0.17,0.04,0.21,5.0
adempiere,0.29,0.58,6.33,0.25,5.33,0.29,0.29,0.0,0.25,0.17,0.17,0.08,6.33
aderire,0.38,0.75,3.33,0.0,5.5,0.46,0.29,0.0,0.17,0.0,0.17,0.0,5.83
adesione,0.5,0.38,5.83,0.25,5.33,0.38,0.62,0.0,0.29,0.17,0.08,0.04,5.67
adesso,0.52,0.46,5.83,0.12,6.5,0.58,0.46,0.0,0.42,0.04,0.17,0.08,6.83
adirare,0.0,0.17,7.33,0.17,5.0,0.0,0.0,0.0,0.29,0.96,0.29,0.08,2.0
adolescente,0.45,0.67,5.67,0.17,4.83,0.33,0.58,0.0,0.25,0.33,0.33,0.25,5.0
adolescenza,0.4,0.71,7.5,0.79,4.33,0.38,0.42,0.0,0.79,0.83,0.42,0.92,3.83
adombrare,0.02,0.04,5.67,0.12,4.33,0.04,0.0,0.0,0.29,0.12,0.04,0.21,4.33
adombrato,0.14,0.08,6.0,0.29,4.67,0.21,0.08,0.0,0.58,0.25,0.08,0.75,3.5
adoperare,0.06,0.12,4.5,0.0,5.17,0.12,0.0,0.0,0.0,0.0,0.04,0.0,4.83
adorare,0.52,0.58,5.67,0.04,6.67,0.42,0.62,0.0,0.04,0.04,0.33,0.08,7.0
adottare,0.75,0.92,6.17,0.0,5.17,0.71,0.79,0.0,0.25,0.0,0.33,0.21,7.67
adozione,0.62,0.54,6.0,0.0,6.5,0.58,0.67,0.0,0.04,0.0,0.25,0.21,6.17
adulterio,0.14,0.29,5.83,0.88,4.67,0.25,0.04,0.0,0.42,1.0,0.58,0.96,1.83
adulto,0.29,0.5,3.83,0.08,6.17,0.42,0.17,0.0,0.54,0.25,0.08,0.38,5.33
aereo,0.52,0.38,6.83,0.0,4.67,0.21,0.83,0.0,0.42,0.12,0.17,0.17,5.83
aeroporto,0.58,0.75,5.67,0.25,4.5,0.54,0.62,0.0,0.67,0.29,0.58,0.42,5.67
affacciare,0.17,0.29,4.5,0.0,5.83,0.17,0.17,0.0,0.0,0.0,0.5,0.0,5.33
affare,0.23,0.58,5.5,0.0,6.0,0.17,0.29,0.0,0.0,0.0,0.17,0.0,5.83
affascinante,0.5,0.75,6.67,0.08,6.33,0.38,0.62,0.0,0.12,0.0,0.42,0.08,6.17
affascinare,0.56,0.71,6.67,0.04,6.83,0.29,0.83,0.0,0.0,0.04,0.38,0.0,7.0
affaticamento,0.04,0.0,4.83,0.04,5.33,0.04,0.04,0.0,0.5,0.21,0.0,0.67,3.67
affatto,0.12,0.25,4.67,0.17,4.5,0.12,0.12,0.0,0.0,0.17,0.17,0.21,4.33
affermare,0.4,0.58,6.0,0.12,5.67,0.33,0.46,0.0,0.12,0.17,0.12,0.12,6.33
affermazione,0.33,0.46,5.17,0.0,4.17,0.42,0.25,0.0,0.25,0.0,0.25,0.0,5.5
afferrare,0.14,0.17,5.67,0.0,5.0,0.21,0.08,0.0,0.04,0.29,0.33,0.0,4.33
affetto,0.6,0.46,5.67,0.04,4.83,0.42,0.79,0.0,0.08,0.0,0.04,0.08,7.67
affettuoso,0.83,0.71,6.33,0.08,5.67,0.71,0.96,0.0,0.17,0.0,0.29,0.08,7.67
affezionato,0.96,0.75,6.33,0.08,5.33,0.92,1.0,0.0,0.33,0.21,0.21,0.58,8.67
affiancare,0.29,0.54,4.33,0.04,5.67,0.42,0.17,0.0,0.04,0.04,0.25,0.04,5.67
affiatamento,0.83,0.54,4.67,0.0,6.17,0.92,0.75,0.0,0.0,0.0,0.17,0.0,7.67
affidabile,0.65,0.42,3.5,0.0,6.5,1.0,0.29,0.0,0.0,0.0,0.08,0.0,8.0
affidamento,0.44,0.83,5.0,0.12,5.33,0.54,0.33,0.0,0.17,0.21,0.38,0.42,5.17
affidare,0.62,0.71,5.0,0.0,5.83,0.96,0.29,0.0,0.0,0.04,0.29,0.12,6.5
affidarsi,0.75,0.58,4.83,0.17,4.67,0.83,0.67,0.0,0.46,0.38,0.38,0.08,6.17
affievolimento,0.14,0.04,4.0,0.17,3.67,0.25,0.04,0.0,0.54,0.25,0.08,0.58,3.33
affievolire,0.18,0.5,5.83,0.08,4.5,0.29,0.08,0.0,0.38,0.21,0.04,0.62,3.83
affiorare,0.44,0.67,6.0,0.17,4.83,0.5,0.38,0.0,0.29,0.17,0.62,0.21,6.0
affittare,0.21,0.58,4.33,0.0,4.67,0.42,0.0,0.0,0.04,0.04,0.04,0.04,5.33
affitto,0.08,0.67,6.83,0.21,4.0,0.08,0.08,0.0,0.42,0.54,0.17,0.33,3.33
affliggere,0.0,0.12,6.17,0.42,2.67,0.0,0.0,0.0,0.58,0.88,0.0,0.88,2.17
afflitto,0.0,0.0,5.17,0.33,4.5,0.0,0.0,0.0,0.25,0.25,0.04,0.58,3.17
afflizione,0.02,0.04,4.67,0.54,1.83,0.04,0.0,0.0,0.54,0.71,0.08,0.96,1.67
affluenza,0.12,0.58,5.0,0.04,5.17,0.08,0.17,0.0,0.17,0.04,0.17,0.04,5.0
affollare,0.1,0.21,4.67,0.17,3.5,0.12,0.08,0.0,0.42,0.12,0.17,0.17,4.17
affondare,0.06,0.04,6.67,0.29,3.0,0.0,0.12,0.0,1.0,0.71,0.33,0.96,1.83
affondato,0.04,0.17,4.83,0.12,3.0,0.04,0.04,0.0,0.71,0.54,0.04,0.75,2.17
affossamento,0.02,0.17,6.33,0.33,3.17,0.04,0.0,0.0,0.58,0.62,0.25,0.62,2.83
affresco,0.58,0.58,3.33,0.17,4.67,0.46,0.71,0.0,0.08,0.17,0.67,0.21,7.0
affrontare,0.42,0.42,5.0,0.04,5.0,0.54,0.29,0.0,0.79,0.25,0.29,0.33,4.67
africano,0.34,0.5,4.67,0.0,5.0,0.17,0.5,0.0,0.04,0.17,0.5,0.33,5.67
afrodisiaco,0.52,0.67,6.67,0.17,6.5,0.33,0.71,0.0,0.12,0.0,0.71,0.0,6.5
agenda,0.27,0.46,5.5,0.12,5.83,0.33,0.21,0.0,0.17,0.04,0.17,0.17,5.33
agente,0.31,0.46,5.33,0.0,4.0,0.58,0.04,0.0,0.46,0.0,0.08,0.04,5.5
agenzia,0.34,0.67,5.17,0.04,5.17,0.46,0.21,0.0,0.17,0.12,0.08,0.08,5.17
agganciare,0.12,0.08,4.83,0.04,4.83,0.12,0.12,0.0,0.04,0.04,0.12,0.04,5.17
agghiacciare,0.0,0.04,6.0,0.33,3.67,0.0,0.0,0.0,0.79,0.58,0.21,0.5,2.17
agghiacciato,0.02,0.17,7.67,0.67,2.17,0.04,0.0,0.0,0.83,0.71,0.58,0.71,1.83
aggiornamento,0.79,0.83,5.33,0.0,6.67,0.79,0.79,0.0,0.0,0.0,0.67,0.0,6.5
aggiornare,0.48,0.67,4.33,0.0,5.33,0.42,0.54,0.0,0.17,0.08,0.42,0.08,5.83
aggirare,0.04,0.0,6.83,0.42,4.33,0.08,0.0,0.0,0.58,0.54,0.04,0.25,2.17
aggiungere,0.04,0.04,3.67,0.0,5.0,0.04,0.04,0.0,0.04,0.0,0.12,0.0,5.0
aggiustare,0.44,0.33,4.17,0.0,5.83,0.33,0.54,0.0,0.0,0.0,0.08,0.04,7.17
aggrapparsi,0.18,0.46,5.67,0.04,5.0,0.29,0.08,0.0,0.54,0.17,0.29,0.25,4.67
aggredire,0.0,0.04,7.67,0.21,4.0,0.0,0.0,0.0,0.54,0.79,0.42,0.17,1.33
aggressione,0.0,0.0,8.17,0.79,3.33,0.0,0.0,0.0,1.0,0.96,0.33,0.79,1.67
aggressivo,0.04,0.08,6.83,0.42,5.67,0.04,0.04,0.0,0.79,1.0,0.17,0.46,3.0
aggressore,0.0,0.21,8.0,0.83,2.83,0.0,0.0,0.0,0.96,1.0,0.25,0.71,1.17
aggrottare,0.0,0.0,4.33,0.42,4.5,0.0,0.0,0.0,0.04,0.71,0.21,0.08,4.33
aghi,0.11,0.21,5.33,0.25,4.17,0.17,0.04,0.0,0.33,0.08,0.04,0.25,4.5
agiato,0.29,0.58,4.5,0.0,7.17,0.25,0.33,0.0,0.12,0.17,0.04,0.04,5.33
agio,0.83,0.58,3.0,0.12,4.5,0.83,0.83,0.0,0.17,0.04,0.17,0.12,7.0
agire,0.58,0.58,7.0,0.0,6.0,0.46,0.71,0.0,0.17,0.25,0.5,0.17,6.33
agitare,0.0,0.17,5.67,0.0,4.17,0.0,0.0,0.0,0.42,0.08,0.21,0.0,3.5
agitarsi,0.02,0.25,8.33,0.25,2.83,0.04,0.0,0.0,0.92,0.58,0.58,0.42,1.67
agitato,0.0,0.29,6.83,0.04,4.33,0.0,0.0,0.0,0.83,0.29,0.21,0.08,3.17
agitazione,0.25,0.75,7.17,0.42,6.67,0.17,0.33,0.0,0.75,0.79,0.62,0.38,4.33
agnello,0.29,0.17,4.5,0.0,5.33,0.08,0.5,0.0,0.04,0.0,0.0,0.21,5.67
ago,0.11,0.08,5.83,0.17,4.83,0.04,0.17,0.0,0.38,0.0,0.17,0.17,4.67
agognare,0.4,0.54,5.83,0.12,3.5,0.38,0.42,0.0,0.25,0.17,0.21,0.25,5.17
agonia,0.02,0.08,6.83,0.21,3.83,0.04,0.0,0.0,0.88,0.67,0.17,0.83,1.33
agosto,0.46,0.58,5.33,0.04,5.5,0.25,0.67,0.0,0.04,0.0,0.17,0.12,7.33
agricolo,0.29,0.25,5.17,0.0,5.5,0.29,0.29,0.0,0.0,0.0,0.08,0.08,5.33
agricoltura,0.38,0.58,5.17,0.0,5.0,0.21,0.54,0.0,0.12,0.12,0.08,0.08,6.67
agro,0.09,0.0,5.5,0.42,5.0,0.0,0.17,0.0,0.04,0.08,0.17,0.17,5.33
aguzzo,0.02,0.12,5.5,0.12,4.67,0.0,0.04,0.0,0.42,0.04,0.12,0.12,4.5
aiutare,0.88,0.46,6.67,0.0,6.67,0.92,0.83,0.0,0.08,0.04,0.33,0.29,7.67
aiuto,0.58,0.42,5.33,0.21,4.17,0.83,0.33,0.0,0.79,0.33,0.25,0.46,5.17
ala,0.02,0.04,4.17,0.0,4.67,0.04,0.0,0.0,0.12,0.0,0.12,0.0,5.33
alacre,0.42,0.58,7.67,0.04,5.67,0.29,0.54,0.0,0.17,0.17,0.04,0.08,5.67
alba,0.73,0.71,6.0,0.0,5.17,0.5,0.96,0.0,0.0,0.0,0.29,0.29,8.17
albanese,0.04,0.04,4.33,0.17,5.0,0.04,0.04,0.0,0.33,0.17,0.12,0.17,4.17
albergo,0.19,0.58,5.0,0.04,4.83,0.17,0.21,0.0,0.08,0.0,0.21,0.0,5.67
albero,0.45,0.08,2.67,0.0,5.33,0.33,0.58,0.0,0.04,0.0,0.0,0.0,6.83
album,0.48,0.42,5.0,0.04,5.5,0.21,0.75,0.0,0.04,0.04,0.42,0.21,6.33
albume,0.02,0.0,4.83,0.29,5.83,0.0,0.04,0.0,0.0,0.0,0.0,0.0,5.33
alcol,0.21,0.17,6.5,0.75,4.17,0.25,0.17,0.0,0.62,0.79,0.38,0.75,2.5
alcolismo,0.0,0.04,4.0,0.88,4.0,0.0,0.0,0.0,0.58,0.71,0.04,0.79,2.0
alcolista,0.02,0.08,5.67,0.79,3.5,0.04,0.0,0.0,0.75,0.83,0.17,0.92,2.0
alfa,0.25,0.5,4.33,0.04,5.67,0.42,0.08,0.0,0.04,0.0,0.04,0.0,5.67
ali_spiegate,0.88,0.83,6.83,0.0,7.17,0.79,0.96,0.0,0.04,0.0,0.58,0.17,7.33
alibi,0.23,0.21,6.0,0.17,5.5,0.42,0.04,0.0,0.71,0.29,0.17,0.17,4.17
alienato,0.02,0.21,3.83,0.12,3.5,0.04,0.0,0.0,0.21,0.33,0.0,0.5,3.17
alienazione,0.02,0.04,3.5,0.25,3.67,0.04,0.0,0.0,0.58,0.17,0.17,0.54,2.5
alieno,0.15,0.29,5.5,0.04,5.33,0.17,0.12,0.0,0.5,0.12,0.5,0.0,5.17
alimentare,0.17,0.33,3.67,0.0,6.0,0.08,0.25,0.0,0.0,0.0,0.04,0.0,5.83
alimentazione,0.41,0.17,6.0,0.17,5.83,0.08,0.75,0.0,0.12,0.04,0.17,0.08,7.0
alimento,0.35,0.33,4.33,0.25,5.83,0.29,0.42,0.0,0.04,0.04,0.17,0.04,6.17
allacciare,0.17,0.25,5.5,0.0,5.67,0.25,0.08,0.0,0.04,0.0,0.0,0.0,5.5
allargare,0.23,0.25,3.17,0.0,5.33,0.25,0.21,0.0,0.17,0.0,0.04,0.0,5.67
allarmare,0.04,0.08,7.33,0.0,4.0,0.08,0.0,0.0,0.67,0.17,0.21,0.17,3.33
allarmato,0.18,0.58,6.33,0.42,5.5,0.29,0.08,0.0,0.83,0.42,0.62,0.25,4.5
allarme,0.04,0.33,6.83,0.42,3.33,0.04,0.04,0.0,1.0,0.42,0.75,0.29,3.83
alleanza,0.6,0.67,5.5,0.08,4.5,0.67,0.54,0.0,0.25,0.04,0.08,0.04,5.83
alleato,0.92,0.88,3.0,0.0,6.5,1.0,0.83,0.0,0.0,0.0,0.12,0.0,8.17
allegato,0.04,0.25,4.67,0.0,4.83,0.04,0.04,0.0,0.08,0.0,0.25,0.12,5.0
allegra,0.77,0.29,6.0,0.0,6.33,0.58,0.96,0.0,0.0,0.0,0.54,0.0,8.17
allegria,0.9,0.71,6.83,0.0,6.33,0.83,0.96,0.0,0.0,0.0,0.62,0.04,7.0
allegro,0.75,0.5,4.67,0.0,5.67,0.5,1.0,0.0,0.0,0.0,0.54,0.04,8.33
allenamento,0.36,0.33,6.67,0.0,6.33,0.17,0.54,0.0,0.08,0.04,0.17,0.04,5.17
allenare,0.43,0.92,5.33,0.0,6.83,0.58,0.29,0.0,0.0,0.0,0.12,0.0,7.33
allenatore,0.41,0.33,6.67,0.0,5.33,0.71,0.12,0.0,0.0,0.0,0.12,0.0,6.33
allevare,0.4,0.62,6.17,0.17,5.33,0.25,0.54,0.0,0.29,0.17,0.33,0.21,6.0
allibito,0.11,0.29,5.33,0.58,5.0,0.17,0.04,0.0,0.21,0.54,0.96,0.21,4.17
allietato,0.55,0.21,4.33,0.0,5.83,0.42,0.67,0.0,0.0,0.04,0.21,0.04,7.33
allievo,0.57,0.79,5.67,0.0,5.0,0.67,0.46,0.0,0.17,0.17,0.54,0.17,5.83
allineare,0.31,0.54,3.33,0.0,5.83,0.33,0.29,0.0,0.04,0.0,0.04,0.0,5.67
alloggio,0.38,0.58,5.83,0.04,5.0,0.33,0.42,0.0,0.12,0.04,0.29,0.04,6.0
allontanare,0.29,0.17,6.67,0.5,3.0,0.42,0.17,0.0,0.75,0.42,0.21,0.83,2.33
allontanato,0.02,0.04,5.83,0.42,2.83,0.04,0.0,0.0,0.42,0.42,0.12,0.83,2.17
allora,0.02,0.21,4.67,0.0,4.5,0.04,0.0,0.0,0.04,0.0,0.08,0.0,5.0
